Id_lekarze,Id_specjalizacje,Id_dyzury,Imie,Nazwisko,Data_zatrudnienia,Pensja
1,161,206,Dot,Gianninotti,2015-06-06,4907
2,923,770,Vinnie,Pyke,2017-06-19,7872
3,423,471,Henrie,Nilles,2017-06-20,3989
4,851,34,Dru,Gynn,2015-08-22,3644
5,212,375,Averill,Node,2012-09-14,4398
6,47,580,Dorise,Rusk,2021-04-22,4029
7,692,389,Dolf,Threadgold,2017-01-30,7311
8,866,691,Leanor,Boscott,2018-08-18,5660
9,968,816,Lyon,Hannum,2022-07-31,3691
10,509,964,Kellia,Patience,2022-06-12,7481
11,884,813,Kay,Danihel,2011-02-11,5481
12,962,989,Marice,Zambon,2020-11-15,3516
13,215,941,Emmerich,Bowle,2019-10-04,7210
14,139,533,Bettine,Walburn,2018-12-04,3861
15,927,172,Spenser,Freschi,2017-07-13,6775
16,796,451,Ganny,Croisdall,2002-05-19,5636
17,168,904,Bobbi,Colliard,2000-02-29,4586
18,575,64,Justen,Leyzell,2012-07-17,5859
19,478,155,Renelle,Streather,2015-07-18,5931
20,811,130,Trula,Pagram,2001-04-20,6940
21,139,155,Arvie,Herrieven,2013-11-06,4559
22,83,52,Meggi,Van Halle,2004-06-29,7739
23,658,86,Giffy,Ridgwell,2000-03-09,6291
24,73,99,Almire,Le Provost,2003-01-03,7434
25,650,238,Gayleen,Helian,2010-02-24,7613
26,407,625,Norean,Vautin,2016-10-24,4136
27,101,454,Jamison,Tunsley,2014-12-28,4179
28,531,877,Jorgan,Carlon,2011-07-17,6736
29,695,669,Linnea,Manchester,2012-08-12,7420
30,367,755,Andriana,Attoc,2002-01-19,4535
31,381,833,Berke,Wartonby,2018-01-23,7957
32,876,981,Yanaton,Pointer,2008-10-09,4211
33,833,604,Erin,Wethered,2006-02-08,4925
34,21,324,Herschel,Westcott,2022-10-06,5584
35,400,589,Zena,Slayny,2010-10-27,5032
36,250,367,Leah,June,2019-06-16,5261
37,463,120,Chrissie,Raccio,2020-09-16,6605
38,733,784,Toiboid,Flinn,2002-08-31,4239
39,861,240,Adel,Thornley,2016-07-14,4316
40,728,770,Karalynn,Seniour,2001-11-27,6056
41,589,422,Mikel,Kefford,2020-01-14,4390
42,229,190,Rosita,Tregensoe,2014-10-21,4515
43,284,667,Annadiane,Garham,2018-08-12,4678
44,915,318,Gerladina,Brumfield,2019-08-01,6905
45,747,795,Mayor,Fildes,2002-07-27,4602
46,464,307,Gerianna,Markovic,2004-08-10,6241
47,583,94,Alleyn,Leere,2000-02-03,6465
48,620,897,Marcus,Dommersen,2010-09-03,6391
49,801,683,Melany,Goodyer,2008-06-13,5068
50,706,737,Audre,Dunn,2013-10-04,6092
51,194,858,Ottilie,Scutts,2022-08-01,5823
52,142,27,Kristos,Kirsz,2017-02-06,7450
53,119,3,Alberik,Espinosa,2008-11-18,4214
54,638,174,Dianna,Fayre,2015-01-25,7352
55,287,81,Magnum,Tedstone,2003-07-03,5824
56,567,325,Waneta,Lace,2006-11-10,7934
57,987,813,Sande,Bernhardt,2009-03-05,7505
58,153,449,Gran,Grimme,2014-02-02,3972
59,253,74,Dorthea,Merchant,2004-02-10,4232
60,458,246,Eddie,Tanzer,2022-03-07,7095
61,487,372,Lucilia,Najara,2014-07-30,7913
62,334,940,Shanie,Acland,2006-11-19,7802
63,755,296,Lebbie,Portsmouth,2010-01-09,6633
64,413,995,Jamie,Sifflett,2007-05-31,4379
65,859,884,Trent,Iacomelli,2008-07-25,5029
66,696,983,Cristy,Eardley,2008-08-30,7526
67,764,872,Worth,Crebo,2022-09-10,5682
68,874,62,Fax,Kmiec,2007-02-26,4115
69,281,997,Reilly,Whitlaw,2001-09-15,3863
70,376,491,Rickie,Dorbin,2009-11-13,4246
71,26,806,Clarke,Marians,2021-05-24,5876
72,551,949,Morse,Desporte,2009-11-26,4933
73,871,747,Meriel,Hembrow,2022-09-20,6207
74,690,966,Randene,Skule,2022-04-04,6513
75,627,569,Bridie,Estrella,2006-11-23,5153
76,658,537,Wyatt,Rennles,2005-02-03,7091
77,378,917,Hermy,Foulger,2002-06-08,7922
78,172,20,Mikkel,Guerriero,2002-03-06,7434
79,937,482,Hedwiga,Newcomb,2016-11-29,6328
80,609,470,Hillier,Cropp,2016-12-15,4732
81,825,117,Sharl,De Roeck,2003-11-29,4322
82,976,60,Haskel,Kittles,2021-01-17,6262
83,986,260,Averyl,Rayhill,2014-08-15,3683
84,728,671,Lyndsie,Keeney,2011-10-13,7807
85,139,480,Gilemette,Pittle,2014-05-23,7218
86,135,597,Radcliffe,Josifovitz,2004-10-19,5542
87,597,205,Gwendolyn,Mongin,2019-07-05,6920
88,167,820,Gibb,Mole,2016-03-16,5340
89,527,304,Sergio,Edy,2011-01-31,6124
90,525,304,Wilden,Houseley,2007-10-17,4913
91,223,595,Marion,Dovydenas,2018-03-28,3818
92,381,13,Hewett,Pickervance,2022-02-23,6691
93,990,72,Lyndsey,Benfield,2000-05-28,4164
94,437,953,Marje,Clipston,2010-09-18,7665
95,106,395,Poppy,Rove,2015-10-18,7049
96,16,707,Tades,Christie,2000-09-30,5065
97,589,520,Floria,Jinda,2006-05-02,7256
98,638,854,Pamela,Colebourne,2016-10-28,5121
99,85,262,Nap,Boam,2007-04-21,7972
100,405,764,Kara-lynn,Righy,2008-11-26,7155
101,37,357,Giff,Brabham,2021-10-24,6873
102,312,426,Cordula,Merwede,2007-09-17,6912
103,456,539,Hesther,McVey,2018-12-28,3543
104,473,639,Michaela,Bart,2015-08-18,4608
105,529,1000,Alec,Kristiansen,2009-01-18,7090
106,802,416,Ediva,Cicconettii,2006-04-03,4284
107,387,406,Lory,Spirritt,2003-12-05,5970
108,651,253,Chelsey,Rotter,2009-07-07,6347
109,216,990,Adamo,Patching,2013-02-06,7187
110,10,430,Norrie,Venes,2002-10-15,7889
111,377,962,Kary,Gillespie,2002-07-02,3852
112,103,847,Emmalyn,Trunchion,2017-11-07,7122
113,903,820,Annamarie,Haucke,2007-12-21,4439
114,188,738,Freddy,Lambswood,2003-01-11,7088
115,397,861,Kania,Plumm,2010-05-03,6607
116,242,548,Jeffie,McShea,2012-11-07,4382
117,470,580,Aristotle,Shillitoe,2019-04-27,3719
118,791,406,Milo,Fillary,2002-11-11,5611
119,255,92,Caroline,Avory,2012-11-08,3901
120,786,628,Amalee,O'Haire,2018-02-03,5930
121,648,888,Dene,Beeswing,2006-12-03,3608
122,446,879,Boyce,Danford,2015-12-18,7217
123,133,605,Marilee,Fahey,2000-07-30,4566
124,556,442,Alberto,Croydon,2011-10-25,7167
125,903,173,Marion,Govenlock,2016-10-19,4194
126,570,35,Korney,Dumbrall,2014-08-23,6966
127,102,49,Fran,MacKeig,2013-01-03,4444
128,603,572,Holmes,Benito,2006-01-01,6433
129,893,134,Sherie,Dominelli,2010-02-11,4190
130,836,755,Heriberto,Dominichelli,2005-07-19,3799
131,417,997,Jerald,Grodden,2011-01-13,7611
132,873,202,Adelaida,Kellegher,2002-05-03,6622
133,465,30,Allie,Bloxsom,2022-02-13,7850
134,322,168,Nancy,Stowgill,2017-09-12,4249
135,168,240,Romona,Boner,2019-06-13,5009
136,697,299,Hallie,Diboll,2002-06-07,7083
137,185,147,Bengt,Cutteridge,2016-07-19,3722
138,611,40,Celle,Rennocks,2021-03-27,7369
139,304,70,Wendie,Kunzler,2018-03-04,4315
140,229,443,Sheryl,Cowl,2010-12-17,5542
141,93,832,Norma,Deerr,2018-02-21,4319
142,382,267,Dewain,Yarn,2013-03-01,6102
143,156,45,Lorrin,Applebee,2011-06-17,7871
144,363,546,Sileas,Lyngsted,2020-06-30,7962
145,811,133,Jasmin,Santhouse,2003-11-17,7172
146,203,338,Adelina,Mollindinia,2013-09-19,7675
147,927,422,Deanne,Ranns,2007-09-10,5221
148,504,180,Whittaker,Wakeman,2011-08-03,7557
149,407,146,Windy,Dansie,2018-03-18,6542
150,327,653,Jo-anne,Veldens,2022-07-04,5510
151,421,340,Renee,Gilmartin,2008-12-03,4122
152,609,994,Willey,Theobald,2010-10-31,5387
153,560,6,Caprice,Killeen,2014-11-14,4941
154,306,936,Porty,Cohr,2009-08-13,4691
155,79,325,Theressa,Isakovitch,2013-03-07,4275
156,844,39,Klara,Stitfall,2021-07-14,3810
157,356,899,Abba,Allchorne,2002-07-02,4854
158,601,239,Carmen,Giraudou,2013-02-14,5733
159,112,885,Jaimie,Cutajar,2007-01-18,4699
160,951,896,Shena,Hestrop,2016-05-08,4785
161,539,540,Vilma,Rehorek,2014-04-17,6301
162,537,787,Dwight,Fleury,2003-06-12,7327
163,618,569,Inglebert,Brum,2006-05-30,3707
164,516,450,Dorris,Brydell,2019-11-10,7548
165,120,148,Colan,Bambrick,2007-04-15,6852
166,549,479,Renard,Mingaud,2014-08-22,7131
167,851,828,Ibbie,Blumfield,2002-08-25,4547
