Id_pracownicy,Id_uprawnienia,Imie,Nazwisko,Data_zatrudnienia,Pensja
1,536,Elyn,Whittington,2015-05-20,4040
2,691,Zerk,Hulson,2010-04-24,4078
3,955,Miranda,Gloy,2001-09-12,4995
4,416,Jenilee,Brawson,2006-09-05,3765
5,843,Maybelle,Scroggins,2020-11-23,4932
6,317,Nester,Masic,2008-10-05,3432
7,976,Yasmin,Rawes,2004-12-05,3679
8,603,Ardene,McAw,2003-03-05,2512
9,175,Abbey,Aries,2019-10-18,4423
10,950,Jessika,Fromant,2020-10-15,4967
11,94,Adiana,Cotte,2016-03-02,2709
12,143,Vanda,Cowing,2018-06-21,2776
13,915,Zack,Bishop,2019-01-07,3840
14,12,Vladimir,Stote,2021-10-15,2818
15,858,Griswold,Haill,2020-04-22,4762
16,552,Lew,Teligin,2000-05-16,2748
17,208,Mary,Tansley,2001-01-29,4969
18,683,Dillie,Cottage,2007-12-17,3295
19,545,Rianon,Trowle,2019-09-22,2586
20,704,Lilias,Searsby,2009-10-30,3741
21,636,Rachelle,Fosdick,2010-07-23,4852
22,738,Torrence,Cleaver,2014-01-21,2499
23,88,Coralie,Giovanizio,2022-12-04,4174
24,727,Joanna,Howford,2009-03-28,3348
25,619,Marena,McArdell,2017-11-08,2470
26,598,Nerti,Letham,2000-11-05,4481
27,462,Franciska,Barnson,2016-09-23,4985
28,293,Federico,Aberdeen,2012-02-19,2879
29,631,Leanor,Tadman,2012-08-13,3174
30,272,Darelle,Whitechurch,2016-05-23,3431
31,658,Auberta,Littlepage,2005-07-09,3117
32,457,Glynis,Scarsbrick,2008-08-01,4451
33,907,Ann-marie,Jeskin,2007-06-11,3011
34,1,Tabatha,Godding,2004-08-18,4974
35,603,Jonell,Varvell,2018-09-09,3803
36,87,Petronella,Petrol,2009-02-13,2518
37,709,Benedict,Bilam,2016-09-08,3215
38,959,Otho,Oliphant,2016-04-11,3693
39,731,Wolf,Lettley,2020-07-05,4084
40,442,Bondon,Bradburne,2015-12-10,3346
41,212,Roxane,Trengrouse,2007-05-25,4603
42,433,Anastasia,Brookshaw,2004-09-06,4475
43,841,Marisa,Kirkness,2019-04-14,2944
44,228,Jaynell,Pemble,2014-12-18,3218
45,598,Richmond,Behling,2022-03-12,2438
46,20,Tatiana,Le Fevre,2012-11-10,3633
47,352,Francesco,Matelaitis,2009-04-19,4194
48,883,Mattias,Wallice,2021-02-20,3390
49,496,Marian,Marshal,2011-04-15,4674
50,513,Dominick,Gladdolph,2007-04-29,2544
51,370,Dmitri,Hollows,2000-10-07,4258
52,617,Reeva,Belf,2010-01-16,3960
53,676,Ellie,Challicombe,2003-12-09,2513
54,414,Annadiana,Oggers,2001-08-23,3241
55,380,Donelle,Pauly,2000-12-18,4676
56,217,Miller,Bram,2005-07-30,4583
57,823,Lindsay,Musslewhite,2012-09-13,4254
58,534,Skippie,Colloby,2013-01-28,4334
59,781,Vonni,Biermatowicz,2018-06-29,3052
60,627,Leonelle,McNicol,2002-07-29,4225
61,474,Garrik,Shirlaw,2002-08-02,3159
62,778,Tresa,Eisikowitz,2010-02-08,2532
63,754,Melantha,Esmonde,2000-05-20,3942
64,35,Bryant,Juschka,2011-05-01,3582
65,557,Maureen,Sallings,2008-08-26,2730
66,704,Delia,Cullinane,2013-07-18,4807
67,845,Chrissy,Harefoot,2001-10-16,2692
68,235,Willdon,Cummungs,2009-05-07,4987
69,87,Tiphany,O'Cahsedy,2005-01-12,3091
70,549,Carol,Kauschke,2019-01-16,4614
71,985,Louie,Cullerne,2022-12-29,2545
72,182,Dot,McGuiness,2014-10-16,2473
73,286,Denny,Rowbrey,2004-09-12,4467
74,626,Lambert,McGrouther,2012-02-07,4142
75,697,Germain,Fredy,2002-06-16,3740
