"ID_LEKARZE","IMIE","NAZWISKO"
9778,"Essy","Toby"
9779,"Raina","Warnock"
9780,"Ag","Sang"
9781,"Dennie","Kenwood"
9782,"Darelle","Fattorini"
9783,"Normie","Musto"
9784,"Sandy","Easthope"
9785,"Lief","Hawkeridge"
9786,"Fayette","Bowman"
9787,"Carling","Hainey`"
9788,"Brett","Dannehl"
9789,"Alejoa","Ruffell"
9790,"Theobald","Tinkler"
9791,"Modestia","Adao"
9792,"Antonella","Smuth"
9793,"Meghann","Lebond"
9794,"Row","Kynnd"
9795,"Gerick","MacGall"
9796,"Ferdinand","Snooks"
9797,"Cam","Ellcock"
9798,"Lalo","Danielot"
9799,"Charlie","Blaza"
9800,"Annmarie","Gillingham"
9801,"Doug","Sybry"
9802,"Kitti","Freemantle"
9803,"Ted","Pettengell"
9804,"Merrily","Merriment"
9805,"Mike","Neilson"
9806,"Curt","Bacchus"
9807,"Shana","Perchard"
9808,"Lavinia","Charte"
9809,"Roderigo","Fearn"
9810,"Kaye","Sollime"
9811,"Edward","Bramelt"
9812,"Asher","Fear"
9813,"Roxie","Bastie"
9814,"Nickolaus","Quarterman"
9815,"Ogden","Turnor"
9816,"Sela","Aubert"
9817,"Barby","Gaenor"
9818,"Jana","Bondesen"
9819,"Antonia","Eppson"
9820,"Elmira","Fogarty"
9821,"Elladine","Newcomen"
9822,"Lulita","Galvan"
9823,"Vaclav","Bartosik"
9824,"Gordie","Bidder"
9825,"Lelah","Josefson"
9826,"Gelya","Prickett"
9827,"Wynn","Lamplough"
9828,"Florette","Feedome"
9829,"Melantha","Shrubb"
9830,"Cchaddie","Life"
9831,"Mora","Kennewell"
9832,"Boony","Blackall"
9833,"Elle","Moughtin"
9834,"Ricky","Legate"
9835,"Cristin","Starbeck"
9836,"Marjory","Doniso"
9837,"Forrest","Prettyman"
9838,"Manny","McCudden"
9839,"Fletcher","Giffin"
9840,"Charyl","Marikhin"
9841,"Cherish","Doblin"
9842,"Lorena","Mc Andrew"
9843,"Salim","Camelli"
9844,"Kirby","Gooley"
9845,"Felipe","Quiney"
9846,"Modesty","Schall"
9847,"Erma","Meth"
9848,"Herve","Reddoch"
9849,"Yoko","Benois"
9850,"Josias","Cuvley"
9851,"Patricia","Benneyworth"
9852,"Rutledge","Halgarth"
9853,"Ruby","Georgiades"
9854,"Bar","Nye"
9855,"Jodi","Larmuth"
9856,"Gerik","Orrocks"
9857,"Coral","Landrick"
9858,"Constantia","Lanyon"
9859,"Ody","Frances"
9860,"Kalvin","Curtin"
9861,"Roslyn","Neilson"
9862,"Jackson","Thewys"
9863,"Ula","Waleworke"
9864,"Garrard","Royston"
9865,"Hyacinthe","Tothe"
9866,"Bessy","Reyne"
9867,"Rudd","Pezey"
9868,"Haily","O'Fielly"
9869,"Tirrell","Atwool"
9870,"Pia","Lacaze"
9871,"Shurlock","Durston"
9872,"Elfrida","Quaife"
9873,"Isak","Finkle"
9874,"Nellie","Scrace"
9875,"Franklyn","Heritege"
9876,"Corrina","Duffie"
9877,"Curtice","Paffett"
9878,"Ali","Wroe"
9879,"Doloritas","Ginglell"
9880,"Gorden","Hanning"
9881,"Lars","Moysey"
9882,"Deedee","Hentzer"
9883,"Lloyd","O'Keaveny"
9884,"Valina","Grigorian"
9885,"Megen","Freebury"
9886,"Tomi","Lowings"
9887,"Eimile","Wadley"
9888,"Ad","Lacrouts"
9889,"Quintina","Frise"
9890,"Demeter","Flori"
9891,"Nikola","Connow"
9892,"Tadeas","Beincken"
